no,en,kr(로부장 초안·검수 대상),pos,CEFR,NGSL순위,출처태그,판정(대표님: 채택/보류/탈락)
1,company,회사,noun,A2,107,[CEFR-J A2][NGSL 107],
2,part,부분,noun,A2,130,[CEFR-J A2][NGSL 130],
3,interest,관심; 이자,noun,A2,142,[CEFR-J A2][NGSL 142],
4,country,나라,noun,A2,143,[CEFR-J A2][NGSL 143],
5,include,포함하다,verb,A2,163,[CEFR-J A2][NGSL 163],
6,report,보고(하다),noun,A2,166,[CEFR-J A2][NGSL 166],
7,seem,~처럼 보이다,verb,A2,173,[CEFR-J A2][NGSL 173],
8,system,체계,noun,A2,179,[CEFR-J A2][NGSL 179],
9,follow,따르다,verb,A2,188,[CEFR-J A2][NGSL 188],
10,state,상태; 국가,noun,A2,199,[CEFR-J A2][NGSL 199],
11,fact,사실,noun,A2,202,[CEFR-J A2][NGSL 202],
12,area,지역; 분야,noun,A2,204,[CEFR-J A2][NGSL 204],
13,provide,제공하다,verb,A2,205,[CEFR-J A2][NGSL 205],
14,government,정부,noun,A2,216,[CEFR-J A2][NGSL 216],
15,issue,문제; 쟁점,noun,A2,218,[CEFR-J A2][NGSL 218],
16,market,시장,noun,A2,219,[CEFR-J A2][NGSL 219],
17,service,서비스; 봉사,noun,B1,223,[CEFR-J B1][NGSL 223],
18,increase,증가하다,verb,A2,230,[CEFR-J A2][NGSL 230],
19,offer,제안하다,noun,A2,237,[CEFR-J A2][NGSL 237],
20,lead,이끌다,noun,A2,241,[CEFR-J A2][NGSL 241],
21,understand,이해하다,verb,A2,243,[CEFR-J A2][NGSL 243],
22,cost,비용,noun,A2,252,[CEFR-J A2][NGSL 252],
23,level,수준,noun,A2,262,[CEFR-J A2][NGSL 262],
24,experience,경험,noun,A2,264,[CEFR-J A2][NGSL 264],
25,member,구성원,noun,A2,266,[CEFR-J A2][NGSL 266],
26,able,~할 수 있는,adjective,B1,271,[CEFR-J B1][NGSL 271],
27,support,지지하다,noun,A2,272,[CEFR-J A2][NGSL 272],
28,term,용어; 기간,noun,B1,280,[CEFR-J B1][NGSL 280],
29,low,낮은,adjective,A2,283,[CEFR-J A2][NGSL 283],
30,process,과정,noun,B1,286,[CEFR-J B1][NGSL 286],
31,public,대중의; 공공의,noun,A2,287,[CEFR-J A2][NGSL 287],
32,possible,가능한,adjective,A2,290,[CEFR-J A2][NGSL 290],
33,view,견해; 전망,noun,A2,293,[CEFR-J A2][NGSL 293],
34,consider,고려하다,verb,A2,295,[CEFR-J A2][NGSL 295],
35,local,지역의,adjective,A2,300,[CEFR-J A2][NGSL 300],
36,control,통제(하다),noun,A2,301,[CEFR-J A2][NGSL 301],
37,concern,걱정; 관심사,noun,A2,303,[CEFR-J A2][NGSL 303],
38,product,제품,noun,A2,304,[CEFR-J A2][NGSL 304],
39,lose,잃다,verb,A2,305,[CEFR-J A2][NGSL 305],
40,continue,계속하다,verb,A2,308,[CEFR-J A2][NGSL 308],
41,whole,전체의,adjective,A2,310,[CEFR-J A2][NGSL 310],
42,rate,비율; 속도,noun,A2,312,[CEFR-J A2][NGSL 312],
43,expect,기대하다,verb,A2,314,[CEFR-J A2][NGSL 314],
44,effect,효과; 영향,noun,A2,315,[CEFR-J A2][NGSL 315],
45,sort,종류; 분류하다,noun,B1,316,[CEFR-J B1][NGSL 316],
46,cause,원인; 일으키다,verb,A2,319,[CEFR-J A2][NGSL 319],
47,fall,떨어지다,verb,A2,320,[CEFR-J A2][NGSL 320],
48,deal,거래; 다루다,noun,A2,321,[CEFR-J A2][NGSL 321],
49,send,보내다,verb,A2,323,[CEFR-J A2][NGSL 323],
50,allow,허락하다,verb,A2,324,[CEFR-J A2][NGSL 324],
51,base,기초; 근거지,noun,A2,327,[CEFR-J A2][NGSL 327],
52,suggest,제안하다,verb,A2,329,[CEFR-J A2][NGSL 329],
53,power,힘; 권력,noun,A2,331,[CEFR-J A2][NGSL 331],
54,return,돌아오다,noun,A2,337,[CEFR-J A2][NGSL 337],
55,value,가치,noun,A2,342,[CEFR-J A2][NGSL 342],
56,record,기록(하다),verb,A2,344,[CEFR-J A2][NGSL 344],
57,force,힘; 강요하다,noun,A2,346,[CEFR-J A2][NGSL 346],
58,develop,발전시키다,verb,A2,350,[CEFR-J A2][NGSL 350],
59,bit,조금,noun,A2,352,[CEFR-J A2][NGSL 352],
60,figure,수치; 인물,noun,A2,357,[CEFR-J A2][NGSL 357],
61,decide,결정하다,verb,A2,359,[CEFR-J A2][NGSL 359],
62,development,발전,noun,B1,363,[CEFR-J B1][NGSL 363],
63,clear,분명한,adjective,A2,369,[CEFR-J A2][NGSL 369],
64,remain,남아 있다,verb,A2,374,[CEFR-J A2][NGSL 374],
65,involve,포함하다; 관여시키다,verb,B1,379,[CEFR-J B1][NGSL 379],
66,reach,도달하다,verb,A2,380,[CEFR-J A2][NGSL 380],
67,create,창조하다,verb,A2,386,[CEFR-J A2][NGSL 386],
68,sound,소리; ~하게 들리다,noun,A2,390,[CEFR-J A2][NGSL 390],
69,political,정치적인,adjective,A2,394,[CEFR-J A2][NGSL 394],
70,receive,받다,verb,A2,396,[CEFR-J A2][NGSL 396],
71,policy,정책,noun,B1,399,[CEFR-J B1][NGSL 399],
72,further,더 나아간,adjective,A2,400,[CEFR-J A2][NGSL 400],
73,require,요구하다,verb,B1,402,[CEFR-J B1][NGSL 402],
74,general,일반적인,adjective,B1,404,[CEFR-J B1][NGSL 404],
75,appear,나타나다,verb,A2,405,[CEFR-J A2][NGSL 405],
76,individual,개인(의),adjective,B1,409,[CEFR-J B1][NGSL 409],
77,sense,감각; 의미,noun,A2,412,[CEFR-J A2][NGSL 412],
78,pass,지나가다; 통과하다,noun,A2,416,[CEFR-J A2][NGSL 416],
79,produce,생산하다,verb,A2,417,[CEFR-J A2][NGSL 417],
80,law,법,noun,A2,421,[CEFR-J A2][NGSL 421],
81,research,연구,noun,A2,423,[CEFR-J A2][NGSL 423],
82,position,위치; 입장,noun,A2,426,[CEFR-J A2][NGSL 426],
83,human,인간(의),adjective,A2,428,[CEFR-J A2][NGSL 428],
84,situation,상황,noun,A2,430,[CEFR-J A2][NGSL 430],
85,staff,직원,noun,A2,431,[CEFR-J A2][NGSL 431],
86,film,영화,noun,A2,433,[CEFR-J A2][NGSL 433],
87,account,계좌; 설명,noun,A2,436,[CEFR-J A2][NGSL 436],
88,major,주요한,adjective,A2,438,[CEFR-J A2][NGSL 438],
89,condition,상태; 조건,noun,A2,445,[CEFR-J A2][NGSL 445],
90,decision,결정,noun,B1,449,[CEFR-J B1][NGSL 449],
91,certain,확실한; 어떤,adjective,A2,451,[CEFR-J A2][NGSL 451],
92,main,주된,adjective,B1,453,[CEFR-J B1][NGSL 453],
93,die,죽다,verb,A2,454,[CEFR-J A2][NGSL 454],
94,available,이용 가능한,adjective,B1,459,[CEFR-J B1][NGSL 459],
95,rise,오르다,noun,B1,462,[CEFR-J B1][NGSL 462],
96,detail,세부사항,noun,A2,472,[CEFR-J A2][NGSL 472],
97,model,모형; 본보기,noun,A2,485,[CEFR-J A2][NGSL 485],
98,raise,올리다; 기르다,verb,A2,486,[CEFR-J A2][NGSL 486],
99,customer,고객,noun,A2,487,[CEFR-J A2][NGSL 487],
100,explain,설명하다,verb,A2,489,[CEFR-J A2][NGSL 489],
