no,en,pos,CEFR,NGSL순위,분류,출처태그,kr,수능태그,중국어,일본어
1,even,adverb,A2,96,기능어,[CEFR-J A2][NGSL 96],,,,
2,such,determiner,A2,100,기능어,[CEFR-J A2][NGSL 100],,,,
3,last,determiner,A2,101,기능어,[CEFR-J A2][NGSL 101],,,,
4,company,noun,A2,107,내용어,[CEFR-J A2][NGSL 107],,,,
5,part,noun,A2,130,내용어,[CEFR-J A2][NGSL 130],,,,
6,interest,noun,A2,142,내용어,[CEFR-J A2][NGSL 142],,,,
7,country,noun,A2,143,내용어,[CEFR-J A2][NGSL 143],,,,
8,next,adverb,A2,151,기능어,[CEFR-J A2][NGSL 151],,,,
9,while,conjunction,A2,155,기능어,[CEFR-J A2][NGSL 155],,,,
10,might,modal auxiliary,A2,159,기능어,[CEFR-J A2][NGSL 159],,,,
11,include,verb,A2,163,내용어,[CEFR-J A2][NGSL 163],,,,
12,report,noun,A2,166,내용어,[CEFR-J A2][NGSL 166],,,,
13,seem,verb,A2,173,내용어,[CEFR-J A2][NGSL 173],,,,
14,system,noun,A2,179,내용어,[CEFR-J A2][NGSL 179],,,,
15,during,preposition,A2,182,기능어,[CEFR-J A2][NGSL 182],,,,
16,follow,verb,A2,188,내용어,[CEFR-J A2][NGSL 188],,,,
17,since,preposition,A2,191,기능어,[CEFR-J A2][NGSL 191],,,,
18,few,determiner,A2,195,기능어,[CEFR-J A2][NGSL 195],,,,
19,state,noun,A2,199,내용어,[CEFR-J A2][NGSL 199],,,,
20,fact,noun,A2,202,내용어,[CEFR-J A2][NGSL 202],,,,
21,however,adverb,A2,203,기능어,[CEFR-J A2][NGSL 203],,,,
22,area,noun,A2,204,내용어,[CEFR-J A2][NGSL 204],,,,
23,provide,verb,A2,205,내용어,[CEFR-J A2][NGSL 205],,,,
24,without,preposition,A2,212,기능어,[CEFR-J A2][NGSL 212],,,,
25,government,noun,A2,216,내용어,[CEFR-J A2][NGSL 216],,,,
26,issue,noun,A2,218,내용어,[CEFR-J A2][NGSL 218],,,,
27,market,noun,A2,219,내용어,[CEFR-J A2][NGSL 219],,,,
28,service,noun,B1,223,내용어,[CEFR-J B1][NGSL 223],,,,
29,against,preposition,A2,224,기능어,[CEFR-J A2][NGSL 224],,,,
30,though,conjunction,A2,227,기능어,[CEFR-J A2][NGSL 227],,,,
31,increase,verb,A2,230,내용어,[CEFR-J A2][NGSL 230],,,,
32,offer,noun,A2,237,내용어,[CEFR-J A2][NGSL 237],,,,
33,lead,noun,A2,241,내용어,[CEFR-J A2][NGSL 241],,,,
34,understand,verb,A2,243,내용어,[CEFR-J A2][NGSL 243],,,,
35,far,adverb,A2,245,기능어,[CEFR-J A2][NGSL 245],,,,
36,cost,noun,A2,252,내용어,[CEFR-J A2][NGSL 252],,,,
37,less,adverb,A2,253,기능어,[CEFR-J A2][NGSL 253],,,,
38,level,noun,A2,262,내용어,[CEFR-J A2][NGSL 262],,,,
39,experience,noun,A2,264,내용어,[CEFR-J A2][NGSL 264],,,,
40,member,noun,A2,266,내용어,[CEFR-J A2][NGSL 266],,,,
41,enough,adverb,A2,267,기능어,[CEFR-J A2][NGSL 267],,,,
42,able,adjective,B1,271,내용어,[CEFR-J B1][NGSL 271],,,,
43,support,noun,A2,272,내용어,[CEFR-J A2][NGSL 272],,,,
44,whether,conjunction,B1,273,기능어,[CEFR-J B1][NGSL 273],,,,
45,quite,adverb,A2,277,기능어,[CEFR-J A2][NGSL 277],,,,
46,although,conjunction,A2,278,기능어,[CEFR-J A2][NGSL 278],,,,
47,term,noun,B1,280,내용어,[CEFR-J B1][NGSL 280],,,,
48,least,determiner,A2,281,기능어,[CEFR-J A2][NGSL 281],,,,
49,low,adjective,A2,283,내용어,[CEFR-J A2][NGSL 283],,,,
50,within,preposition,A2,285,기능어,[CEFR-J A2][NGSL 285],,,,
51,process,noun,B1,286,내용어,[CEFR-J B1][NGSL 286],,,,
52,public,noun,A2,287,내용어,[CEFR-J A2][NGSL 287],,,,
53,possible,adjective,A2,290,내용어,[CEFR-J A2][NGSL 290],,,,
54,actually,adverb,A2,291,기능어,[CEFR-J A2][NGSL 291],,,,
55,rather,adverb,A2,292,기능어,[CEFR-J A2][NGSL 292],,,,
56,view,noun,A2,293,내용어,[CEFR-J A2][NGSL 293],,,,
57,consider,verb,A2,295,내용어,[CEFR-J A2][NGSL 295],,,,
58,local,adjective,A2,300,내용어,[CEFR-J A2][NGSL 300],,,,
59,control,noun,A2,301,내용어,[CEFR-J A2][NGSL 301],,,,
