단어,갈래,레벨,CEFR근거
adventure,바다와 항해,레벨1,A2
bay,바다와 항해,레벨1,A2
bubble,바다와 항해,레벨2,B1
cape,바다와 항해,레벨2,미수록|로부장수기
channel,바다와 항해,레벨2,B1
coast,바다와 항해,레벨1,A2
current,바다와 항해,레벨2,B1
deck,바다와 항해,레벨2,B2
dive,바다와 항해,레벨2,B1
dolphin,바다와 항해,레벨2,B1
float,바다와 항해,레벨1,A2
flood,바다와 항해,레벨1,A2
flow,바다와 항해,레벨2,B1
island,바다와 항해,레벨1,A1
navy,바다와 항해,레벨2,B2
ocean,바다와 항해,레벨2,B1
pool,바다와 항해,레벨1,A1
port,바다와 항해,레벨2,B1
rise,바다와 항해,레벨2,B1
row,바다와 항해,레벨1,A1
sail,바다와 항해,레벨2,B2
seal,바다와 항해,레벨2,B2
shell,바다와 항해,레벨1,A2
shore,바다와 항해,레벨1,A2
sink,바다와 항해,레벨1,A2
spray,바다와 항해,레벨2,B2
stream,바다와 항해,레벨2,B1
surface,바다와 항해,레벨2,B1
tide,바다와 항해,레벨2,B1
wave,바다와 항해,레벨1,A2
whale,바다와 항해,레벨2,B1
atmosphere,하늘과 날씨,레벨2,B1
balloon,하늘과 날씨,레벨1,A2
blow,하늘과 날씨,레벨1,A1
climate,하늘과 날씨,레벨2,B1
dawn,하늘과 날씨,레벨2,B2
flame,하늘과 날씨,레벨2,B2
flash,하늘과 날씨,레벨2,B1
fog,하늘과 날씨,레벨1,A2
freeze,하늘과 날씨,레벨1,A2
heaven,하늘과 날씨,레벨2,B1
melt,하늘과 날씨,레벨2,B1
noon,하늘과 날씨,레벨1,A2
planet,하늘과 날씨,레벨1,A2
rainbow,하늘과 날씨,레벨2,B2
shade,하늘과 날씨,레벨1,A2
shadow,하늘과 날씨,레벨1,A2
shine,하늘과 날씨,레벨1,A2
silver,하늘과 날씨,레벨1,A2
smoke,하늘과 날씨,레벨1,A1
steam,하늘과 날씨,레벨2,B1
storm,하늘과 날씨,레벨1,A2
temperature,하늘과 날씨,레벨1,A2
cliff,땅과 물길,레벨2,B1
countryside,땅과 물길,레벨1,A2
county,땅과 물길,레벨2,B1
desert,땅과 물길,레벨1,A2
dirt,땅과 물길,레벨2,B1
district,땅과 물길,레벨2,B1
dust,땅과 물길,레벨1,A2
edge,땅과 물길,레벨2,B1
highway,땅과 물길,레벨1,A2
hole,땅과 물길,레벨1,A1
lane,땅과 물길,레벨1,A2
mount,땅과 물길,레벨2,B1
mud,땅과 물길,레벨2,B1
path,땅과 물길,레벨1,A2
pile,땅과 물길,레벨1,A2
pole,땅과 물길,레벨2,B1
pollute,땅과 물길,레벨1,A2
region,땅과 물길,레벨2,B1
route,땅과 물길,레벨2,B2
site,땅과 물길,레벨1,A1
soil,땅과 물길,레벨2,B1
spot,땅과 물길,레벨1,A1
square,땅과 물길,레벨1,A2
tower,땅과 물길,레벨1,A1
valley,땅과 물길,레벨1,A2
ant,동물,레벨2,B1
bark,동물,레벨2,B1
bug,동물,레벨1,A2
cage,동물,레벨2,B1
feed,동물,레벨1,A1
frog,동물,레벨1,A1
giraffe,동물,레벨2,B1
lamb,동물,레벨2,B1
nest,동물,레벨1,미수록|로부장수기
pet,동물,레벨1,A1
rat,동물,레벨1,A1
sheep,동물,레벨1,A1
snake,동물,레벨1,A1
species,동물,레벨2,B2
wild,동물,레벨1,A2
wing,동물,레벨2,B1
zebra,동물,레벨2,B2
bloom,식물과 나무,레벨1,A2
branch,식물과 나무,레벨1,A2
bush,식물과 나무,레벨1,A2
fur,식물과 나무,레벨2,B1
grace,식물과 나무,레벨1,A2
lawn,식물과 나무,레벨2,B2
leaf,식물과 나무,레벨1,A1
log,식물과 나무,레벨2,B1
oak,식물과 나무,레벨1,A2
pine,식물과 나무,레벨2,B2
plant,식물과 나무,레벨1,A2
