원본대표파일,세트,프롬프트번호,버전수,선택한BestTake,배정챕터,새파일명,상태
001_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,"1,2차완성본",001,3,001_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_04.mp4,옮김완료
002_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,"1,2차완성본",002,3,002_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_05.mp4,옮김완료
003_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,"1,2차완성본",003,3,003_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_06.mp4,옮김완료
004_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,"1,2차완성본",004,3,004_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_07.mp4,옮김완료
005_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,"1,2차완성본",005,2,005_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_08.mp4,옮김완료
006_Cinematic-progressive-line-reveal-animation-on-a-s (1).mp4,"1,2차완성본",006,2,006_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_09.mp4,옮김완료
007_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,"1,2차완성본",007,1,007_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_10.mp4,옮김완료
008_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,"1,2차완성본",008,1,008_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_11.mp4,옮김완료
009_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,"1,2차완성본",009,1,009_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_12.mp4,옮김완료
010_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,"1,2차완성본",010,1,010_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch11,ch11_13.mp4,옮김완료
001_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,001,2,001_Progressive-hand-drawn-picture-dictionary-animatio.mp4,ch4,ch4_14.mp4,옮김완료
002_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,002,2,002_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,ch4,ch4_15.mp4,옮김완료
003_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,003,2,003_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,ch4,ch4_16.mp4,옮김완료
004_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,004,2,004_Progressive-hand-drawn-picture-dictionary-animatio.mp4,ch4,ch4_17.mp4,옮김완료
005_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,005,2,005_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,ch4,ch4_18.mp4,옮김완료
006_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,006,2,006_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,ch4,ch4_19.mp4,옮김완료
007_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,007,2,007_Progressive-hand-drawn-picture-dictionary-animatio.mp4,ch4,ch4_20.mp4,옮김완료
008_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,008,2,008_Progressive-hand-drawn-picture-dictionary-animatio.mp4,ch4,ch4_21.mp4,옮김완료
009_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,009,2,009_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,ch4,ch4_22.mp4,옮김완료
010_Progressive-hand-drawn-picture-dictionary-animatio (1).mp4,9차완성본_Set10_서재도구,010,2,010_Progressive-hand-drawn-picture-dictionary-animatio.mp4,ch4,ch4_23.mp4,옮김완료
001_Cinematic-progressive-line-reveal-animation-on-a-s (3).mp4,3차완성본,001,1,001_Cinematic-progressive-line-reveal-animation-on-a-s (3).mp4,ch5,ch5_06.mp4,옮김완료
002_Cinematic-progressive-line-reveal-animation-on-a-s (3).mp4,3차완성본,002,1,002_Cinematic-progressive-line-reveal-animation-on-a-s (3).mp4,ch5,ch5_07.mp4,옮김완료
003_Cinematic-progressive-line-reveal-animation-on-a-s (3).mp4,3차완성본,003,1,003_Cinematic-progressive-line-reveal-animation-on-a-s (3).mp4,ch5,ch5_08.mp4,옮김완료
004_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,004,1,004_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_09.mp4,옮김완료
005_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,005,1,005_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_10.mp4,옮김완료
006_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,006,1,006_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_11.mp4,옮김완료
007_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,007,1,007_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_12.mp4,옮김완료
008_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,008,1,008_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_13.mp4,옮김완료
009_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,3차완성본,009,1,009_Cinematic-progressive-line-reveal-animation-on-a-s.mp4,ch5,ch5_14.mp4,옮김완료
