파일명,보이는것,주요사물,사람유무,손유무,어울리는주제
ch11_04,나무다리와 시냇물 유리병 새,다리 시냇물 유리병 새 이끼돌 물결,없음,없음,물가풍경
ch11_05,나무 둥지와 새알 세 개,둥지 새알 짚풀 나뭇가지,없음,없음,새와둥지
ch11_06,작은 돋보기와 단풍잎 한 장,돋보기 단풍잎 잎맥,없음,없음,관찰도구
ch11_07,망원경과 밤하늘 별자리,망원경 삼각대 별자리,없음,없음,천체관측
ch11_08,해시계와 나침반,해시계 나침반 그림자,없음,없음,시간측정
ch11_09,유리 프리즘과 무지개 빛스펙트럼,프리즘 무지개빛 광선,없음,없음,빛과광학
ch11_10,목조 지구의와 고지도,지구의 고지도 나침도,없음,없음,지리와지도
ch11_11,모래시계와 깃펜,모래시계 깃펜 모래알,없음,없음,기록과시간
ch11_12,천체구의와 황동 링,천구의 황동고리 궤도선,없음,없음,천체관측
ch11_13,달의 위상 변화 원판,초승달 보름달 달모양판,없음,없음,달과위상
ch11_14,탁상 지구의와 황동 경도선 링,지구의 경도환 목재받침,없음,없음,지구의
ch11_15,나무 책받침대 독서대와 펼쳐진 고서,독서대 책장 페이지 책갈피,없음,없음,독서대
ch11_16,유리 잉크웰과 깃펜 펜촉,잉크병 깃펜 잉크방울,없음,없음,필기구
ch11_17,목조 양팔 저울과 황동 분동 추,양팔저울 접시 분동추 균형봉,없음,없음,저울
ch11_18,황동 회중시계와 톱니바퀴 태엽,회중시계 시계바늘 톱니 체인,없음,없음,시계
ch11_19,볼록 돋보기와 활자 종이,돋보기 렌즈 손잡이 활자종이,없음,없음,광학
ch11_20,클래식 타자기와 올라온 활자 해머,타자기 자판 활자대 롤러 종이,없음,없음,타자기
ch11_21,황동 콤파스와 제도용 삼각자,제도콤파스 삼각자 눈금자,없음,없음,제도도구
ch11_22,주물 북엔드 책고정대와 세 권의 책,북엔드 양장책 세권 책등,없음,없음,책
ch11_23,가죽 펜파우치와 흑연 연필 세 자루,펜케이스 흑연연필 연필심,없음,없음,연필
ch5_06,노란 스쿨버스와 건널목 정지표지판,스쿨버스 정지표지판 횡단보도 바퀴,없음,없음,교통
ch5_07,삼색 신호등과 횡단보도 흰 선,신호등 보행신호 횡단보도,없음,없음,도로
ch5_08,자전거와 헬멧 안전등,자전거 바퀴 안장 헬멧,없음,없음,탈것
ch5_09,소방차와 소화전 물호스,소방차 사다리 소화전 호스,없음,없음,특수차량
ch5_10,경찰차와 경광등 삼각콘,경찰차 경광등 라바콘,없음,없음,특수차량
ch5_11,증기 기관차와 철길 건널목 차단기,기관차 철로 차단기 연기,없음,없음,기차
ch5_12,신호등과 도로 표지판,도로표지판 신호등 아스팔트,없음,없음,도로
ch5_13,기차 선로와 갈림길 전철기,철길 분기기 신호기,없음,없음,철도
ch5_14,비행기와 활주로 유도등,비행기 날개 활주로 유도등,없음,없음,항공
ch5_15,여객선과 구명환 닻,배 구명튜브 닻 밧줄,없음,없음,항해
ch5_16,주유소 주유기와 계량기,주유기 주유노즐 호스 계량기,없음,없음,연료
ch5_17,그랜드 피아노 건반과 올라간 댐퍼,피아노건반 흑백건반 댐퍼 현,없음,없음,악기
ch5_18,어쿠스틱 통기타와 사운드홀,기타 바디 사운드홀 여섯줄,없음,없음,악기
ch5_19,바이올린 바디와 f홀 활줄,바이올린 에프홀 활 브릿지,없음,없음,악기
ch5_20,황동 트럼펫과 세 개의 밸브 피스톤,트럼펫 나팔관 피스톤 밸브,없음,없음,악기
ch5_21,원목 메트로놈 추와 진동 눈금판,메트로놈 진동추 눈금막대 태엽,없음,없음,음악도구
ch12_05,삼각 캠핑 텐트와 나무 접이식 의자,텐트 접이식의자 자갈돌,없음,없음,캠핑
ch12_06,황동 호롱 랜턴과 나뭇가지 불꽃,랜턴 촛불 나뭇가지,없음,없음,조명
ch12_07,가죽 등산화와 나무 지팡이,등산화 지팡이 솔잎,없음,없음,등산
ch12_08,원목 카누와 나무 노 수면 파문,카누 패들 물결,없음,없음,수상
ch12_09,법랑 캠핑 주전자와 머그컵 김,주전자 컵 수증기,없음,없음,취사
ch12_10,첼로 바디와 엔드핀 T자 받침,첼로 울림통 엔드핀 현,없음,없음,악기
ch12_11,금빛 색소폰과 화려한 키 메커니즘,색소폰 벨 마우스피스 키패드,없음,없음,악기
ch12_12,황동 호른과 둥근 나팔관 관체,프렌치호른 원형관 벨 로터리,없음,없음,악기
ch12_13,목조 플루트와 입술받침 립플레이트,플루트 취구 키홀 관체,없음,없음,악기
ch12_14,클라리넷과 리드 마우스피스 벨,클라리넷 리드 은색키 벨,없음,없음,악기
ch2_14,테라코타 화분과 몬스테라 새싹,화분 잎 흙 받침대,없음,없음,화초
ch2_15,아연 물뿌리개와 모종삽,물뿌리개 모종삽 흙,없음,없음,원예도구
ch2_16,유리 테라리움 속 다육식물,유리병 다육이 자갈,없음,없음,식물
ch2_17,정원 꽃가위와 라벤더 줄기,전지가위 라벤더 꽃줄기,없음,없음,원예도구
ch2_18,목조 새집과 매달린 모이통,새집 모이통 새먹이,없음,없음,야생조류
ch2_19,라탄 수확 바구니와 작은 호박,바구니 호박 가을열매,없음,없음,수확물
ch2_20,나무 꽃누르개 압화틀과 말린꽃,압화틀 말린꽃 나사볼트,없음,없음,원예공예
ch2_21,원예용 외발 손수레와 부엽토,손수레 바퀴 흙,없음,없음,운반도구
ch2_22,유리 온실 미니어처 프레임,온실유리창 금속프레임 화초,없음,없음,온실
ch2_23,해바라기 한 송이와 격자 울타리,해바라기 울타리 꽃잎,없음,없음,꽃
ch2_24,나뭇가지 위 푸른 박새,박새 깃털 부리 나뭇가지,없음,없음,조류
ch2_25,넓은 잎사귀 위 점박이 무당벌레,무당벌레 잎사귀 등껍질 점박이,없음,없음,곤충
ch2_26,대칭 날개를 펼친 호랑나비,호랑나비 더듬이 날개무늬,없음,없음,나비
ch2_27,단단한 도토리 깍지와 나뭇가지,도토리 가지 껍질,없음,없음,숲열매
ch2_28,수평으로 놓인 숲속 올빼미 깃털,올빼미깃털 깃대 깃털결,없음,없음,깃털
ch2_29,투명한 날개의 왕잠자리,잠자리 그물날개 겹눈 꼬리,없음,없음,잠자리
ch2_30,단풍나무 씨앗 헬리콥터 날개 한 쌍,단풍씨앗 비행날개 결합부,없음,없음,씨앗
ch2_31,도자기 새 모이 그릇과 해바라기씨,그릇 새모이 해바라기씨앗,없음,없음,새먹이
ch2_32,나무 둥지 속 세 개의 새알,새둥지 짚풀 알세개,없음,없음,새알
ch2_33,천천히 기어가는 정원 달팽이,달팽이 소용돌이껍질 더듬이 자국,없음,없음,달팽이
ch4_04,나무 팔레트와 붓 세 자루 물감,팔레트 붓 물감짜기,없음,없음,회화
ch4_05,도자기 물레와 성형 중인 점토,도자기물레 점토그릇,없음,없음,도예
ch4_06,목각도 세트와 조각 중인 나무토막,조각도 나무토막 대패밥,없음,없음,조각
ch4_07,전통 베틀과 북 실타래,직조틀 북 실타래 천,없음,없음,직조
ch4_08,재봉틀과 실토리 실패 줄자,재봉틀 실패 실토리 줄자,없음,없음,바느질
ch4_09,스테인드글라스 조각과 유리칼,색유리조각 유리칼 납선,없음,없음,유리공예
ch4_10,동판 에칭 판화와 잉크 롤러,동판 에칭잉크 롤러,없음,없음,판화
ch4_11,만년필 촉과 잉크병 종이,만년필 잉크병 잉크방울,없음,없음,문구
ch4_12,실링왁스 스탬프와 녹인 왁스,왁스인장 왁스스푼 양초,없음,없음,봉인지
ch4_13,양가죽 양장본 노트와 북마크 리본,가죽노트 책갈피리본 종이면,없음,없음,제본
ch6_07,손도끼와 통나무 장작더미,도끼 장작 통나무,없음,없음,도구
ch6_08,접이식 포켓 나이프와 나무 깎기,주머니칼 나뭇조각,없음,없음,도구
ch6_09,무쇠 팬과 모닥불 돌 화덕,팬 모닥불 화덕돌,없음,없음,요리
ch6_10,보온병과 스테인리스 컵,보온병 컵 뚜껑,없음,없음,보온
ch6_11,나침반과 접힌 지형도,나침반 지도 등고선,없음,없음,탐험
ch10_05,하늘색 비닐우산과 빗방울 물웅덩이,우산 빗방울 물웅덩이 손잡이,없음,없음,비
ch10_06,털장갑 한 켤레와 흩날리는 눈송이,털장갑 털실 눈송이,없음,없음,겨울
ch10_07,도토리 깍지와 참나무 잎 솔방울,도토리 참나무잎 솔방울,없음,없음,가을
ch10_08,분홍 튤립 한 송이와 아침 이슬방울,튤립 꽃잎 이슬방울 줄기,없음,없음,봄
ch10_09,대나무 접부채와 흔들리는 풍경종,접부채 대나무살 풍경 바람,없음,없음,여름
ch10_10,둥근 플라스크 속 번개와 먹구름,유리플라스크 번개 먹구름,없음,없음,기상
ch10_11,바람개비와 흩날리는 민들레 홀씨,바람개비 날개 민들레씨앗,없음,없음,바람
ch10_12,유리 모래시계와 쌓이는 얼음결정,모래시계 얼음결정 서리,없음,없음,한파
ch10_13,황동 풍향계 닭과 방향 표시 화살표,풍향계 수탉모양 방위판 화살표,없음,없음,풍향
ch10_14,빗물받이 양동이와 넘치는 빗물 파문,양동이 빗물 물파문 수면,없음,없음,강수
