단어,뜻,레벨,쓰이는장면
captain,선장,레벨1,부두의 진급식
chief,우두머리,레벨2,부두의 진급식
military,군대의,레벨1,부두의 진급식
promote,승진시키다,레벨2,부두의 진급식
boss,상사,레벨1,채용을 결정하는 회의실
chairman,의장,레벨1,채용을 결정하는 회의실
client,고객,레벨2,채용을 결정하는 회의실
clerk,점원,레벨1,무료 법률상담 사무소
lawyer,변호사,레벨1,무료 법률상담 사무소
engineer,기술자,레벨1,강철 부품 생산선
industry,산업,레벨2,강철 부품 생산선
labor,노동,레벨2,강철 부품 생산선
manufacture,제조하다,레벨2,강철 부품 생산선
mill,방앗간,레벨2,강철 부품 생산선
career,경력,레벨2,치과 재료 연구실
lab,실험실,레벨2,치과 재료 연구실
laboratory,실험실,레벨2,치과 재료 연구실
profession,직업,레벨2,치과 재료 연구실
guest,손님,레벨1,시 낭독 리허설
poet,시인,레벨2,시 낭독 리허설
blind,눈먼,레벨2,어둠 속 감각실험
brain,뇌,레벨1,어둠 속 감각실험
tear,눈물,레벨1,어둠 속 감각실험
breath,숨,레벨2,숨과 목의 단면
throat,목구멍,레벨2,숨과 목의 단면
knee,무릎,레벨1,몸의 움직임과 식사
automatic,자동의,레벨1,자동 전력 제어판
monitor,화면,레벨2,자동 전력 제어판
pump,펌프,레벨2,자동 전력 제어판
switch,스위치,레벨2,자동 전력 제어판
technology,기술,레벨1,자동 전력 제어판
coal,석탄,레벨2,압연기의 힘
click,딸깍 누르다,레벨1,부품 식별 작업대
code,암호,레벨1,부품 식별 작업대
label,이름표,레벨2,부품 식별 작업대
citizen,시민,레벨1,두 사람의 마을광장
crowd,군중,레벨1,두 사람의 마을광장
relate,관련짓다,레벨2,원탁의 협의
respect,존중하다,레벨2,원탁의 협의
senior,손위의,레벨1,원탁의 협의
divorce,이혼,레벨2,갈라진 두 집의 약속
engage,약혼하다,레벨2,갈라진 두 집의 약속
female,여자의,레벨1,갈라진 두 집의 약속
male,남자의,레벨1,갈라진 두 집의 약속
twin,쌍둥이,레벨2,갈라진 두 집의 약속
bond,유대,레벨2,이웃이 된 두 세대
bomb,폭탄,레벨2,성벽의 방어선
enemy,적,레벨2,성벽의 방어선
violent,난폭한,레벨1,성벽의 방어선
arrest,체포하다,레벨2,도난 현장의 단서
crime,범죄,레벨1,도난 현장의 단서
punish,벌하다,레벨2,도난 현장의 단서
rob,빼앗다,레벨1,도난 현장의 단서
threat,위협,레벨2,도난 현장의 단서
harm,해치다,레벨1,재난 대피 통로
victim,피해자,레벨2,재난 대피 통로
evil,악한,레벨2,광장의 평화 저항
oppose,반대하다,레벨1,광장의 평화 저항
protest,항의하다,레벨2,광장의 평화 저항
resist,저항하다,레벨2,광장의 평화 저항
spy,첩자,레벨1,광장의 평화 저항
cop,경찰,레벨1,증거와 판결
innocent,죄 없는,레벨2,증거와 판결
justice,정의,레벨2,증거와 판결
civil,시민의,레벨2,시민의 선택
policy,정책,레벨2,시민의 선택
public,공공의,레벨1,시민의 선택
discipline,규율,레벨2,공용과 전용의 경계
moral,도덕의,레벨2,공용과 전용의 경계
privacy,사생활,레벨2,공용과 전용의 경계
private,사적인,레벨1,공용과 전용의 경계
standard,기준,레벨2,공용과 전용의 경계
excite,들뜨게 하다,레벨1,작은 극장의 웃음
bother,성가시게 하다,레벨1,넘어진 물감 선반
fright,놀람,레벨2,검사실 앞의 기다림
scare,겁주다,레벨2,검사실 앞의 기다림
disturb,방해하다,레벨1,고장 난 관제실
stress,압박,레벨2,고장 난 관제실
tense,긴장한,레벨2,고장 난 관제실
blame,탓하다,레벨1,식탁에 남은 한 자리
ignore,무시하다,레벨2,식탁에 남은 한 자리
silly,어리석은,레벨1,식탁에 남은 한 자리
bore,지루하게 하다,레벨2,막차 뒤의 승강장
lack,부족,레벨1,막차 뒤의 승강장
pity,안타까움,레벨1,막차 뒤의 승강장
sore,아픈,레벨2,막차 뒤의 승강장
surprise,놀라게 하다,레벨1,상자 속 빛의 정원
hell,지옥,레벨2,거울 미궁의 비밀
impress,감동시키다,레벨1,거울 미궁의 비밀
prove,증명하다,레벨2,금이 간 다리의 검증
rely,의지하다,레벨2,금이 간 다리의 검증
trust,믿다,레벨1,금이 간 다리의 검증
truth,진실,레벨1,금이 간 다리의 검증
suppose,추측하다,레벨2,가설의 모형실
notice,알아채다,레벨1,세밀 관찰대
investigate,조사하다,레벨2,사라진 물길 조사
method,방법,레벨1,사라진 물길 조사
solve,풀다,레벨1,사라진 물길 조사
strategy,전략,레벨1,사라진 물길 조사
recognize,알아보다,레벨2,서로 다른 해석
remind,떠올리게 하다,레벨1,서로 다른 해석
tend,~하는 경향이 있다,레벨2,서로 다른 해석
transfer,옮기다,레벨2,무대 원고 편집실
register,등록하다,레벨2,여행기록 보존대
photo,사진,레벨1,여행기록 보존대
educate,교육하다,레벨2,도예 수업 평가
knowledge,지식,레벨1,도예 수업 평가
experience,경험,레벨1,강물 측정 실습
subject,과목,레벨1,강물 측정 실습
copy,복사하다,레벨1,현수교 조립대
establish,세우다,레벨1,현수교 조립대
burst,터지다,레벨2,깨진 자전거 수리
damage,손상,레벨2,깨진 자전거 수리
repair,고치다,레벨1,깨진 자전거 수리
decorate,꾸미다,레벨2,폭풍 뒤 온실 재건
invent,발명하다,레벨1,폭풍 뒤 온실 재건
produce,생산하다,레벨1,폭풍 뒤 온실 재건
stick,붙이다,레벨2,돛 제작 작업대
deliver,배달하다,레벨2,산골 구호품 전달
donate,기부하다,레벨2,산골 구호품 전달
exchange,교환하다,레벨1,산골 구호품 전달
gift,선물,레벨1,산골 구호품 전달
lend,빌려주다,레벨1,산골 구호품 전달
offer,제안하다,레벨1,공동우물의 물 배분
receive,받다,레벨1,공동우물의 물 배분
reserve,예약하다,레벨2,공동우물의 물 배분
share,나누다,레벨1,공동우물의 물 배분
belong,속하다,레벨1,박물관 보관함의 주인
lose,잃다,레벨1,박물관 보관함의 주인
own,소유하다,레벨1,박물관 보관함의 주인
advance,나아가다,레벨2,항구로 들어오는 배
leave,떠나다,레벨1,항구로 들어오는 배
proceed,진행하다,레벨2,항구로 들어오는 배
choice,선택,레벨1,정원 나무 선택
schedule,일정,레벨1,정원 나무 선택
identity,정체,레벨2,산속 샘의 근원 추적
locate,위치를 찾다,레벨2,산속 샘의 근원 추적
resource,자원,레벨2,산속 샘의 근원 추적
assist,돕다,레벨2,산악 응급치료소
recover,회복하다,레벨2,산악 응급치료소
bless,축복하다,레벨2,폭우 뒤 마을식당
favor,호의,레벨2,폭우 뒤 마을식당
lead,이끌다,레벨1,폭우 뒤 마을식당
serve,대접하다,레벨1,폭우 뒤 마을식당
challenge,도전,레벨1,외줄 구조 연습
effort,노력,레벨1,외줄 구조 연습
risk,위험,레벨2,외줄 구조 연습
manage,관리하다,레벨1,제방 수문 관제
process,과정,레벨2,제방 수문 관제
react,반응하다,레벨2,제방 수문 관제
blank,빈,레벨1,도자기 형태 진열대
fair,공정한,레벨1,개량된 빗물 저장고
increase,늘다,레벨1,개량된 빗물 저장고
practical,실용적인,레벨2,개량된 빗물 저장고
capable,할 수 있는,레벨2,결함품 선별대
fortune,행운,레벨1,결함품 선별대
perfect,완벽한,레벨1,결함품 선별대
proper,알맞은,레벨1,결함품 선별대
reduce,줄이다,레벨2,결함품 선별대
complex,복잡한,레벨2,단순 도르래의 힘
tough,힘든,레벨2,단순 도르래의 힘
alter,바꾸다,레벨2,새 환경의 식물
familiar,익숙한,레벨1,새 환경의 식물
category,갈래,레벨2,광물 분류함
entire,전체의,레벨2,저수지 수량 결산
maximum,최대의,레벨2,저수지 수량 결산
range,범위,레벨1,저수지 수량 결산
limit,한계,레벨2,광석 선별의 양끝
rate,비율,레벨1,광석 선별의 양끝
few,적은,레벨1,비상창고의 남은 몫
lot,많음,레벨1,비상창고의 남은 몫
none,하나도 없음,레벨2,비상창고의 남은 몫
quite,꽤,레벨1,비상창고의 남은 몫
slight,약간의,레벨2,비상창고의 남은 몫
occasion,경우,레벨2,도시나무의 세월
once,한 번,레벨1,도시나무의 세월
past,과거,레벨1,도시나무의 세월
recent,최근의,레벨1,도시나무의 세월
term,기간,레벨2,도시나무의 세월
instant,즉각적인,레벨1,출발 지연 관제판
minute,분,레벨1,출발 지연 관제판
pause,멈춤,레벨2,출발 지연 관제판
nowadays,요즘,레벨1,기후자료의 변화
period,기간,레벨1,기후자료의 변화
rapid,빠른,레벨2,기후자료의 변화
series,연속,레벨2,기후자료의 변화
soon,곧,레벨1,기후자료의 변화
thousand,천,레벨1,천문 관측치 계산
zero,영,레벨1,천문 관측치 계산
dozen,열두 개,레벨2,시장 곡물 분배
half,반,레벨1,시장 곡물 분배
per,마다,레벨2,시장 곡물 분배
quarter,4분의 1,레벨1,시장 곡물 분배
weigh,무게를 재다,레벨1,시장 곡물 분배
forward,앞으로,레벨1,숲길의 진행 표지
local,지역의,레벨1,숲길의 진행 표지
through,통하여,레벨1,숲길의 진행 표지
since,~부터,레벨1,밀물 전 바위길
until,~까지,레벨1,밀물 전 바위길
vision,시력,레벨2,밀물 전 바위길
whether,~인지,레벨2,밀물 전 바위길
while,~하는 동안,레벨1,밀물 전 바위길
drug,약,레벨1,해독 치료실
faint,희미한,레벨2,해독 치료실
hurt,다치게 하다,레벨1,부상 뒤 재활 첫걸음
injure,부상을 입히다,레벨1,부상 뒤 재활 첫걸음
medical,의료의,레벨1,부상 뒤 재활 첫걸음
exist,존재하다,레벨1,임신부의 휴식 정원
suffer,고통받다,레벨2,임신부의 휴식 정원
cause,원인,레벨1,바람이 만든 연쇄
factor,요인,레벨2,바람이 만든 연쇄
result,결과,레벨1,바람이 만든 연쇄
expect,기대하다,레벨1,탐사선의 임무
function,기능,레벨1,탐사선의 임무
happen,일어나다,레벨1,탐사선의 임무
intend,의도하다,레벨2,탐사선의 임무
intent,의도,레벨2,탐사선의 임무
mission,임무,레벨2,탐사선의 임무
purpose,목적,레벨1,탐사선의 임무
