단어,뜻,출처,레벨,쓰이는장면
tower,탑,기존,레벨1,빛을 보내는 등대
island,섬,기존,레벨1,빛을 보내는 등대
shine,빛나다,기존,레벨1,빛을 보내는 등대
warn,경고하다,기존,레벨2,빛을 보내는 등대
cliff,절벽,기존,레벨2,빛을 보내는 등대
shore,물가,기존,레벨1,빛을 보내는 등대
guide,길잡이,기존,레벨2,빛을 보내는 등대
flash,번쩍임,기존,레벨2,빛을 보내는 등대
sail,돛,기존,레벨2,바람을 타는 범선
deck,갑판,기존,레벨2,바람을 타는 범선
rope,밧줄,기존,레벨1,바람을 타는 범선
flag,깃발,기존,레벨1,바람을 타는 범선
journey,여정,기존,레벨1,바람을 타는 범선
row,노를 젓다,기존,레벨1,바람을 타는 범선
port,항구,기존,레벨2,바람을 타는 범선
navy,해군,기존,레벨2,바람을 타는 범선
calm,고요한,기존,레벨2,돌고래가 따라오는 배
distance,먼 거리,기존,레벨2,돌고래가 따라오는 배
dolphin,돌고래,기존,레벨2,돌고래가 따라오는 배
leap,도약하다,기존,레벨2,돌고래가 따라오는 배
follow,따라오다,기존,레벨1,돌고래가 따라오는 배
float,떠 있다,기존,레벨1,돌고래가 따라오는 배
reflect,비추다,기존,레벨1,돌고래가 따라오는 배
silver,은빛,기존,레벨1,돌고래가 따라오는 배
whale,고래,기존,레벨2,고래와 깊은 바다
wave,파도,기존,레벨1,고래와 깊은 바다
rise,솟아오르다,기존,레벨2,고래와 깊은 바다
surface,수면,기존,레벨2,고래와 깊은 바다
ocean,대양,기존,레벨2,고래와 깊은 바다
dive,잠수하다,기존,레벨2,고래와 깊은 바다
spray,물보라,기존,레벨2,고래와 깊은 바다
bubble,거품,기존,레벨2,고래와 깊은 바다
shadow,그늘,기존,레벨1,깊은 바다의 산호 협곡
shell,껍질,기존,레벨1,깊은 바다의 산호 협곡
seal,바다표범,기존,레벨2,깊은 바다의 산호 협곡
tide,조수,기존,레벨2,깊은 바다의 산호 협곡
current,물살·해류,기존,레벨2,깊은 바다의 산호 협곡
sink,가라앉다,기존,레벨1,깊은 바다의 산호 협곡
cage,새장,기존,레벨2,깊은 바다의 산호 협곡
stream,흐름,기존,레벨2,깊은 바다의 산호 협곡
adventure,모험,기존,레벨1,곶을 돌아 열리는 만
bay,만,기존,레벨1,곶을 돌아 열리는 만
cape,곶,기존,레벨2,곶을 돌아 열리는 만
channel,물길,기존,레벨2,곶을 돌아 열리는 만
coast,해안,기존,레벨1,곶을 돌아 열리는 만
flood,밀려들다,기존,레벨1,곶을 돌아 열리는 만
flow,흐르다,기존,레벨2,곶을 돌아 열리는 만
pool,웅덩이,기존,레벨1,곶을 돌아 열리는 만
dawn,새벽,기존,레벨2,새벽 언덕의 양떼
mount,산,기존,레벨2,새벽 언덕의 양떼
path,오솔길,기존,레벨1,새벽 언덕의 양떼
lawn,잔디밭,기존,레벨2,새벽 언덕의 양떼
