영상번호,장면명,갈래,단어,레벨,원래레벨,보정
완성-01,빛을 보내는 등대,완성분,tower,레벨2,레벨1,O
완성-01,빛을 보내는 등대,완성분,island,레벨1,레벨1,
완성-01,빛을 보내는 등대,완성분,shine,레벨2,레벨1,O
완성-01,빛을 보내는 등대,완성분,warn,레벨2,레벨2,
완성-01,빛을 보내는 등대,완성분,cliff,레벨2,레벨2,
완성-01,빛을 보내는 등대,완성분,shore,레벨2,레벨1,O
완성-01,빛을 보내는 등대,완성분,guide,레벨2,레벨2,
완성-01,빛을 보내는 등대,완성분,flash,레벨2,레벨2,
완성-02,바람을 타는 범선,완성분,sail,레벨2,레벨2,
완성-02,바람을 타는 범선,완성분,deck,레벨2,레벨2,
완성-02,바람을 타는 범선,완성분,rope,레벨2,레벨1,O
완성-02,바람을 타는 범선,완성분,flag,레벨1,레벨1,
완성-02,바람을 타는 범선,완성분,journey,레벨2,레벨1,O
완성-02,바람을 타는 범선,완성분,row,레벨2,레벨1,O
완성-02,바람을 타는 범선,완성분,port,레벨2,레벨2,
완성-02,바람을 타는 범선,완성분,navy,레벨2,레벨2,
완성-03,돌고래가 따라오는 배,완성분,calm,레벨2,레벨2,
완성-03,돌고래가 따라오는 배,완성분,distance,레벨2,레벨2,
완성-03,돌고래가 따라오는 배,완성분,dolphin,레벨1,레벨2,O
완성-03,돌고래가 따라오는 배,완성분,leap,레벨2,레벨2,
완성-03,돌고래가 따라오는 배,완성분,follow,레벨1,레벨1,
완성-03,돌고래가 따라오는 배,완성분,float,레벨2,레벨1,O
완성-03,돌고래가 따라오는 배,완성분,reflect,레벨2,레벨1,O
완성-03,돌고래가 따라오는 배,완성분,silver,레벨1,레벨1,
완성-04,고래와 깊은 바다,완성분,whale,레벨2,레벨2,
완성-04,고래와 깊은 바다,완성분,wave,레벨2,레벨1,O
완성-04,고래와 깊은 바다,완성분,rise,레벨2,레벨2,
완성-04,고래와 깊은 바다,완성분,surface,레벨2,레벨2,
완성-04,고래와 깊은 바다,완성분,ocean,레벨2,레벨2,
완성-04,고래와 깊은 바다,완성분,dive,레벨2,레벨2,
완성-04,고래와 깊은 바다,완성분,spray,레벨2,레벨2,
완성-04,고래와 깊은 바다,완성분,bubble,레벨2,레벨2,
완성-05,깊은 바다의 산호 협곡,완성분,shadow,레벨2,레벨1,O
완성-05,깊은 바다의 산호 협곡,완성분,shell,레벨2,레벨1,O
완성-05,깊은 바다의 산호 협곡,완성분,seal,레벨2,레벨2,
완성-05,깊은 바다의 산호 협곡,완성분,tide,레벨2,레벨2,
완성-05,깊은 바다의 산호 협곡,완성분,current,레벨2,레벨2,
완성-05,깊은 바다의 산호 협곡,완성분,sink,레벨2,레벨1,O
완성-05,깊은 바다의 산호 협곡,완성분,cage,레벨2,레벨2,
완성-05,깊은 바다의 산호 협곡,완성분,stream,레벨2,레벨2,
완성-06,곶을 돌아 열리는 만,완성분,adventure,레벨2,레벨1,O
완성-06,곶을 돌아 열리는 만,완성분,bay,레벨2,레벨1,O
완성-06,곶을 돌아 열리는 만,완성분,cape,레벨2,레벨2,
완성-06,곶을 돌아 열리는 만,완성분,channel,레벨2,레벨2,
완성-06,곶을 돌아 열리는 만,완성분,coast,레벨2,레벨1,O
완성-06,곶을 돌아 열리는 만,완성분,flood,레벨2,레벨1,O
완성-06,곶을 돌아 열리는 만,완성분,flow,레벨2,레벨2,
완성-06,곶을 돌아 열리는 만,완성분,pool,레벨1,레벨1,
완성-01,새벽 언덕의 양떼,완성분,dawn,레벨2,레벨2,
완성-01,새벽 언덕의 양떼,완성분,mount,레벨2,레벨2,
완성-01,새벽 언덕의 양떼,완성분,path,레벨2,레벨1,O
완성-01,새벽 언덕의 양떼,완성분,lawn,레벨2,레벨2,
완성-01,새벽 언덕의 양떼,완성분,sheep,레벨1,레벨1,
완성-01,새벽 언덕의 양떼,완성분,lamb,레벨2,레벨2,
완성-01,새벽 언덕의 양떼,완성분,wool,레벨2,레벨1,O
완성-02,참나무 한 그루,완성분,oak,레벨2,레벨1,O
완성-02,참나무 한 그루,완성분,trunk,레벨2,레벨2,
완성-02,참나무 한 그루,완성분,branch,레벨2,레벨1,O
완성-02,참나무 한 그루,완성분,leaf,레벨1,레벨1,
완성-02,참나무 한 그루,완성분,root,레벨2,레벨1,O
완성-02,참나무 한 그루,완성분,seed,레벨2,레벨1,O
완성-02,참나무 한 그루,완성분,bark,레벨2,레벨2,
완성-02,참나무 한 그루,완성분,bush,레벨2,레벨1,O
완성-03,사바나의 기린과 얼룩말,완성분,giraffe,레벨2,레벨2,
완성-03,사바나의 기린과 얼룩말,완성분,zebra,레벨2,레벨2,
완성-03,사바나의 기린과 얼룩말,완성분,wild,레벨2,레벨1,O
완성-03,사바나의 기린과 얼룩말,완성분,desert,레벨2,레벨1,O
완성-03,사바나의 기린과 얼룩말,완성분,dust,레벨2,레벨1,O
완성-03,사바나의 기린과 얼룩말,완성분,soil,레벨2,레벨2,
완성-03,사바나의 기린과 얼룩말,완성분,pile,레벨2,레벨1,O
완성-03,사바나의 기린과 얼룩말,완성분,edge,레벨2,레벨2,
완성-03,사바나의 기린과 얼룩말,완성분,noon,레벨2,레벨1,O
완성-04,꽃 피는 덤불과 벌레,완성분,bloom,레벨2,레벨1,O
완성-04,꽃 피는 덤불과 벌레,완성분,ant,레벨2,레벨2,
완성-04,꽃 피는 덤불과 벌레,완성분,bug,레벨2,레벨1,O
완성-04,꽃 피는 덤불과 벌레,완성분,wing,레벨1,레벨2,O
완성-04,꽃 피는 덤불과 벌레,완성분,nest,레벨2,레벨1,O
완성-04,꽃 피는 덤불과 벌레,완성분,feed,레벨2,레벨1,O
완성-04,꽃 피는 덤불과 벌레,완성분,spot,레벨2,레벨1,O
완성-04,꽃 피는 덤불과 벌레,완성분,plant,레벨1,레벨1,
완성-05,늪가의 개구리,완성분,frog,레벨2,레벨1,O
완성-05,늪가의 개구리,완성분,mud,레벨2,레벨2,
완성-05,늪가의 개구리,완성분,hole,레벨1,레벨1,
완성-05,늪가의 개구리,완성분,dirt,레벨2,레벨2,
