단어,갈래,레벨,CEFR,배정챕터,챕터명,실측최빈,일치,성격
bit,많고 적음,레벨1,A2,10,지구와 날씨,ch7,X,추상(스토리 몫)
entire,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
extreme,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
few,많고 적음,레벨1,A2,10,지구와 날씨,ch7,X,추상(스토리 몫)
intense,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
limit,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
lot,많고 적음,레벨1,A1,10,지구와 날씨,ch7,X,추상(스토리 몫)
major,많고 적음,레벨1,A2,10,지구와 날씨,ch7,X,추상(스토리 몫)
mass,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
maximum,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
none,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
prime,많고 적음,레벨2,B2,10,지구와 날씨,ch7,X,추상(스토리 몫)
quite,많고 적음,레벨1,A2,10,지구와 날씨,ch7,X,추상(스토리 몫)
range,많고 적음,레벨1,A2,10,지구와 날씨,ch7,X,추상(스토리 몫)
slight,많고 적음,레벨2,B1,10,지구와 날씨,ch7,X,추상(스토리 몫)
billion,수와 셈,레벨2,B2,10,지구와 날씨,ch10,O,추상(스토리 몫)
dozen,수와 셈,레벨2,B1,10,지구와 날씨,ch10,O,추상(스토리 몫)
half,수와 셈,레벨1,A1,10,지구와 날씨,ch10,O,추상(스토리 몫)
per,수와 셈,레벨2,B1,10,지구와 날씨,ch10,O,추상(스토리 몫)
quarter,수와 셈,레벨1,A1,10,지구와 날씨,ch10,O,추상(스토리 몫)
rate,수와 셈,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
series,수와 셈,레벨2,B1,10,지구와 날씨,ch10,O,추상(스토리 몫)
thousand,수와 셈,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
weigh,수와 셈,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
zero,수와 셈,레벨1,미수록|로부장수기,10,지구와 날씨,ch10,O,추상(스토리 몫)
constant,시간과 때,레벨2,B2,10,지구와 날씨,ch11,X,추상(스토리 몫)
continue,시간과 때,레벨1,A2,10,지구와 날씨,ch11,X,추상(스토리 몫)
delay,시간과 때,레벨1,A2,10,지구와 날씨,ch11,X,추상(스토리 몫)
due,시간과 때,레벨1,A1,10,지구와 날씨,ch11,X,추상(스토리 몫)
immediate,시간과 때,레벨2,B1,10,지구와 날씨,ch11,X,추상(스토리 몫)
instant,시간과 때,레벨1,A2,10,지구와 날씨,ch11,X,추상(스토리 몫)
minute,시간과 때,레벨1,A1,10,지구와 날씨,ch11,X,추상(스토리 몫)
nowadays,시간과 때,레벨1,A2,10,지구와 날씨,ch11,X,추상(스토리 몫)
occasion,시간과 때,레벨2,B1,10,지구와 날씨,ch11,X,추상(스토리 몫)
once,시간과 때,레벨1,A1,10,지구와 날씨,ch11,X,추상(스토리 몫)
past,시간과 때,레벨1,A1,10,지구와 날씨,ch11,X,추상(스토리 몫)
pause,시간과 때,레벨2,B1,10,지구와 날씨,ch11,X,추상(스토리 몫)
period,시간과 때,레벨1,A1,10,지구와 날씨,ch11,X,추상(스토리 몫)
rapid,시간과 때,레벨2,B1,10,지구와 날씨,ch11,X,추상(스토리 몫)
recent,시간과 때,레벨1,A2,10,지구와 날씨,ch11,X,추상(스토리 몫)
soon,시간과 때,레벨1,A1,10,지구와 날씨,ch11,X,추상(스토리 몫)
term,시간과 때,레벨2,B1,10,지구와 날씨,ch11,X,추상(스토리 몫)
either,이음말,레벨1,A1,10,지구와 날씨,ch10,O,추상(스토리 몫)
even,이음말,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
instead,이음말,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
let,이음말,레벨1,A1,10,지구와 날씨,ch10,O,추상(스토리 몫)
neither,이음말,레벨2,B2,10,지구와 날씨,ch10,O,추상(스토리 몫)
nor,이음말,레벨2,B1,10,지구와 날씨,ch10,O,추상(스토리 몫)
otherwise,이음말,레벨2,B1,10,지구와 날씨,ch10,O,추상(스토리 몫)
ought,이음말,레벨2,미수록|로부장수기,10,지구와 날씨,ch10,O,추상(스토리 몫)
rather,이음말,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
shall,이음말,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
though,이음말,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
thus,이음말,레벨2,B1,10,지구와 날씨,ch10,O,추상(스토리 몫)
whole,이음말,레벨1,A2,10,지구와 날씨,ch10,O,추상(스토리 몫)
would,이음말,레벨1,A1,10,지구와 날씨,ch10,O,추상(스토리 몫)
blank,크기와 모양,레벨1,A1,10,지구와 날씨,ch2,X,장면에 넣을 수 있음
super,크기와 모양,레벨1,A1,10,지구와 날씨,ch2,X,장면에 넣을 수 있음
