장면,단어수,단어,단어와 뜻
01 과일가게 진열대 — 세고 재는 말,28,few lot none entire dozen extra sum each maximum limit average rare slight bit quite per thousand billion plus item section whole altogether range minor major prime absolute,few 적은 / lot 많음 / none 하나도 없음 / entire 전체의 / dozen 열두 개 / extra 덤의 / sum 합계 / each 저마다 / maximum 최대의 / limit 한계 / average 평균 / rare 드문·희귀한 / slight 약간의 / bit 조금 / quite 꽤 / per 마다 / thousand 천 / billion 십억 / plus 더하기 / item 항목 / section 부분 / whole 전체의 / altogether 모두 합쳐 / range 범위 / minor 작은 쪽의 / major 주요한 / prime 으뜸의 / absolute 완전한
02 벽의 달력과 시계 — 때를 말하는 말,24,annual calendar due once period recent previous soon sudden instant forever term nowadays yet occasion event pause since till until while then final schedule,annual 해마다의 / calendar 달력 / due ~하기로 된 / once 한 번 / period 기간 / recent 최근의 / previous 앞선 / soon 곧 / sudden 갑작스러운 / instant 즉각적인 / forever 영원히 / term 기간 / nowadays 요즘 / yet 아직 / occasion 경우 / event 일어난 일 / pause 멈춤 / since ~부터 / till ~까지 / until ~까지 / while ~하는 동안 / then 그때 / final 마지막의 / schedule 일정
03 숲속 갈림길 — 고르는 말,12,either neither nor whether instead rather otherwise else other appoint assign target,either 둘 중 하나 / neither 둘 다 아닌 / nor ~도 아닌 / whether ~인지 / instead 대신에 / rather 오히려 / otherwise 그렇지 않으면 / else 그 밖에 / other 다른 / appoint 정하다 / assign 맡기다 / target 목표점·방향
04 비 오는 날 우산 — 그런데도·아니면,15,although though despite unless without even except moreover therefore thus which shall would ought let,although 비록 ~이지만 / though 비록 / despite ~에도 불구하고 / unless ~하지 않으면 / without ~없이 / even 심지어 / except ~을 빼고 / moreover 게다가 / therefore 그러므로 / thus 그러므로 / which 어느 것 / shall ~할 것이다 / would ~일 것이다 / ought 마땅히 ~해야 한다 / let ~하게 하다
05 저울과 자와 눈금 — 견주는 말,12,basis general particular especial common main overall somewhat similar unit adapt shift,basis 기초 / general 두루 쓰이는 / particular 특정한 / especial 특별한 / common 흔한 / main 주된 / overall 전체의 / somewhat 다소 / similar 비슷한 / unit 낱개 / adapt 적응하다 / shift 옮기다
06 얼굴 표정 판 — 마음을 말하는 말,35,amuse excite humor entertain satisfy appreciate anger annoy panic shock upset fright shame embarrass awkward disgust ignore blame pity bore depress disappoint hesitate desperate desire serious smart wise charm bother concern cruel disturb frustrate rude,amuse 재미있게 하다 / excite 들뜨게 하다 / humor 해학·유머 / entertain 즐겁게 하다 / satisfy 만족시키다 / appreciate 고마워하다 / anger 화 / annoy 짜증나게 하다 / panic 겁에 질림 / shock 충격 / upset 속상한 / fright 놀람 / shame 부끄러움 / embarrass 부끄럽게 하다 / awkward 어색한 / disgust 역겨움 / ignore 무시하다 / blame 탓하다 / pity 안타까움 / bore 지루하게 하다 / depress 기운을 꺾다 / disappoint 실망시키다 / hesitate 망설이다 / desperate 절박한 / desire 바람 / serious 진지한 / smart 영리한 / wise 슬기로운 / charm 매력 / bother 성가시게 하다 / concern 걱정 / cruel 모진 / disturb 방해하다 / frustrate 애타게 하다 / rude 버릇없는
07 말풍선 여러 개 — 소리내어 하는 말,36,shout yell whisper joke greet beg argue instruct interrupt reply speech converse aloud accent pronounce admit emphasize claim complain convince debate deny insist frankly advice advise excuse hint pardon promise propose recommend request require suggest chat,shout 외치다 / yell 고함치다 / whisper 속삭이다 / joke 농담 / greet 인사하다 / beg 간청하다 / argue 따지다 / instruct 지시하다 / interrupt 말을 끊다 / reply 대답하다 / speech 연설 / converse 이야기를 나누다 / aloud 소리 내어 / accent 말투 / pronounce 발음하다 / admit 인정하다 / emphasize 강조하다 / claim 주장하다 / complain 불평하다 / convince 납득시키다 / debate 토론 / deny 아니라고 하다 / insist 우기다 / frankly 솔직히 / advice 조언 / advise 조언하다 / excuse 변명 / hint 귀띔 / pardon 용서 / promise 약속 / propose 제안하다 / recommend 권하다 / request 요청 / require 요구하다 / suggest 넌지시 말하다 / chat 이야기 나누다
08 생각하는 아이 — 머릿속 말,23,assume attitude concept confuse consider context define determine opinion reason regard remind suppose tend doubt mean maybe perhaps probable possible indeed confirm truth,assume 그러려니 하다 / attitude 태도 / concept 개념 / confuse 헷갈리게 하다 / consider 곰곰이 생각하다 / context 앞뒤 사정 / define 뜻을 밝히다 / determine 결정하다 / opinion 의견 / reason 까닭 / regard 여기다 / remind 떠올리게 하다 / suppose 추측하다 / tend ~하는 경향이 있다 / doubt 의심 / mean 뜻하다 / maybe 아마도 / perhaps 아마 / probable 있음직한 / possible 있을 수 있는 / indeed 참으로 / confirm 확인하다 / truth 진실
09 병원 진료실 — 몸과 아픔,18,dentist cough stomach tongue chest shoulder nail blind temperature breathe drug cure mental physical exhaust asleep pregnant wound,dentist 치과 의사 / cough 기침 / stomach 배 / tongue 혀 / chest 단단한 가슴 / shoulder 어깨 / nail 발톱 끝 / blind 눈먼 / temperature 온도 / breathe 숨 쉬다 / drug 약 / cure 낫게 하다 / mental 마음의 / physical 몸의 / exhaust 기운을 다 쓰다 / asleep 잠든 / pregnant 생명을 품은 / wound 상처
10 일하는 사람들 — 직업과 자리,19,lawyer boss secretary coach captain profession volunteer mill client guest chairman agent employ hire promote career master spy slave,lawyer 변호사 / boss 상사 / secretary 비서 / coach 지도자 / captain 선장 / profession 직업 / volunteer 자원하는 사람 / mill 방앗간 / client 고객 / guest 손님 / chairman 의장 / agent 대리인 / employ 일을 시키다 / hire 사람을 쓰다 / promote 승진시키다 / career 경력 / master 달인 / spy 첩자 / slave 종
11 무대와 관객 — 보여주는 자리,10,opera concert band comedy audience champion cast parade league perform,opera 오페라·가극 / concert 연주회 / band 악단 / comedy 희극 / audience 관객 / champion 우승자 / cast 던지다 / parade 행진 / league 연맹 / perform 공연하다
12 식탁의 하루 — 먹는 말,10,menu recipe diet hunger consume chew mix beer picnic cigarette,menu 차림표 / recipe 조리법 / diet 먹는 것 조절 / hunger 배고픔 / consume 소비하다 / chew 씹다 / mix 섞다 / beer 맥주 / picnic 소풍 / cigarette 담배
13 책상 위 인쇄물 — 적고 찍는 말,11,magazine graph chart photo photograph spell edit disc glue screen paragraph,magazine 잡지 / graph 그래프 / chart 도표 / photo 사진 / photograph 사진 / spell 철자 / edit 편집하다 / disc 둥근 판 / glue glue·음악 / screen 화면 / paragraph 문단
14 도시의 한낮 — 거리의 것들,7,university pub van district noon villa motor,university 대학교 / pub 선술집 / van 승합차 / district 모이통 구역 / noon 정오 / villa 별장 / motor 모터(전동기)
15 창고의 밤손님 — 잃고 지키는 말,16,thief victim destroy spoil shoot navy rat dust steal rob gun oppose bomb evil ghost hell,thief 도둑 / victim 피해자 / destroy 부수다 / spoil 망치다 / shoot 쏘다 / navy 해군 / rat 쥐 / dust 먼지 / steal 훔치다 / rob 빼앗다 / gun 총 / oppose 반대하다 / bomb 폭탄 / evil 악한 / ghost 유령 / hell 지옥
16 주고받는 손 — 오가는 말,18,contribute deserve exchange lend refuse reserve share grant demand guarantee invest sponsor advertise bet favor treat forgive respect,contribute 보태다 / deserve 받을 만하다 / exchange 교환하다 / lend 빌려주다 / refuse 거절하다 / reserve 예약하다 / share 나누다 / grant 내어 주다 / demand 요구 / guarantee 보증 / invest 밑천을 대다 / sponsor 후원자 / advertise 광고하다 / bet 내기 / favor 호의 / treat 돌보아 주다 / forgive 용서하다 / respect 존중하다
17 비 갠 뒤 하늘 — 하늘의 것,13,rainbow planet rocket stream swallow species magic fancy fantastic amaze surprise impress fascinate,rainbow 무지개 / planet 행성 / rocket 로켓 / stream 흐름 / swallow 제비 / species 종 / magic 마법 / fancy 상상 / fantastic 환상적인 / amaze 깜짝 놀라게 하다 / surprise 놀라게 하다 / impress 감동시키다 / fascinate 마음을 사로잡다
