그림,단어수,단어,뜻
병원 진료실,10,dentist cough stomach tongue chest shoulder nail blind temperature breathe,dentist 치과 의사 / cough 기침 / stomach 배 / tongue 혀 / chest 단단한 가슴 / shoulder 어깨 / nail 발톱 끝 / blind 눈먼 / temperature 온도 / breathe 숨 쉬다
식탁의 하루,9,menu recipe diet hunger consume chew mix beer picnic,menu 차림표 / recipe 조리법 / diet 먹는 것 조절 / hunger 배고픔 / consume 소비하다 / chew 씹다 / mix 섞다 / beer 맥주 / picnic 소풍
무대와 관객,8,opera concert band comedy audience champion cast parade,opera 오페라·가극 / concert 연주회 / band 악단 / comedy 희극 / audience 관객 / champion 우승자 / cast 던지다 / parade 행진
일하는 사람들,10,lawyer boss secretary coach captain profession volunteer mill client guest,lawyer 변호사 / boss 상사 / secretary 비서 / coach 지도자 / captain 선장 / profession 직업 / volunteer 자원하는 사람 / mill 방앗간 / client 고객 / guest 손님
도시의 한낮,8,university pub van district noon villa motor screen,university 대학교 / pub 선술집 / van 승합차 / district 모이통 구역 / noon 정오 / villa 별장 / motor 모터(전동기) / screen 화면
책상 위 인쇄물,9,magazine graph chart photo photograph spell edit disc glue,magazine 잡지 / graph 그래프 / chart 도표 / photo 사진 / photograph 사진 / spell 철자 / edit 편집하다 / disc 둥근 판 / glue glue·음악
비 갠 뒤 하늘,6,rainbow planet rocket stream swallow species,rainbow 무지개 / planet 행성 / rocket 로켓 / stream 흐름 / swallow 제비 / species 종
말과 소리,8,shout yell whisper joke greet beg argue gesture,shout 외치다 / yell 고함치다 / whisper 속삭이다 / joke 농담 / greet 인사하다 / beg 간청하다 / argue 따지다 / gesture 날갯짓
창고의 밤손님,8,thief victim destroy spoil shoot navy rat dust,thief 도둑 / victim 피해자 / destroy 부수다 / spoil 망치다 / shoot 쏘다 / navy 해군 / rat 쥐 / dust 먼지
옮기고 던지고,7,throw shift locate pause tear wound cigarette,throw 던지다 / shift 옮기다 / locate 위치를 찾다 / pause 멈춤 / tear 눈물 / wound 상처 / cigarette 담배
