앱장면명,정본번호,판정
가죽 등산화와 지팡이,,❌수동확인
가죽 펀치와 가죽,,❌수동확인
가지런한 아침상,,❌수동확인
개미의 긴 줄,,❌수동확인
거대한 얼음 고리의 토성,,❌수동확인
거울 앞 선반,,❌수동확인
거울을 보는 시선,,❌수동확인
계단 옆 거실,,❌수동확인
고대의 원형 경기장,,❌수동확인
고래와 깊은 바다,완성분,일치
곰인형을 뽑다,,❌수동확인
공원 벤치와 배낭,,❌수동확인
공항과 비행기,,❌수동확인
곶을 돌아 열리는 만,완성분,일치
과일 접시,,❌수동확인
궁전과 근위병,,❌수동확인
그랜드 피아노와 건반,,❌수동확인
그루터기 위 새집,,❌수동확인
기와 처마 끝의 고드름,,❌수동확인
깊은 바다의 산호 협곡,완성분,일치
꼬리를 길게 끄는 혜성,,❌수동확인
꽃가위와 라벤더,,❌수동확인
꽃을 누르는 나무틀,,❌수동확인
끓는 냄비와 주전자,,❌수동확인
나무 독서대,,❌수동확인
나뭇가지 위 푸른 박새,,❌수동확인
나뭇가지에 맺힌 서리,,❌수동확인
나선형 껍질의 달팽이,,❌수동확인
날개 달린 단풍 씨앗,,❌수동확인
녹는 얼음과 김,,❌수동확인
놀이공원 대관람차,,❌수동확인
눈 덮인 숲의 오로라,,❌수동확인
단풍잎을 날리는 가을바람,,❌수동확인
달 표면의 충돌 분화구,,❌수동확인
도마 위에서 다듬기,,❌수동확인
돋보기와 렌즈,,❌수동확인
돌고래가 따라오는 배,완성분,일치
동판 에칭 판화,,❌수동확인
둥지 속 푸른 새알,,❌수동확인
둥지에 돌아온 새,,❌수동확인
드롭타워 꼭대기,,❌수동확인
램프 곁의 담요,,❌수동확인
만년필과 잉크,,❌수동확인
맑은 욕실,,❌수동확인
맑은 하늘의 칠색 무지개,,❌수동확인
머그잔과 휴식,,❌수동확인
먹구름과 번개 뇌우,,❌수동확인
목공 대패와 대팻밥,,❌수동확인
무대 원고 편집실 (타자기),,❌수동확인
무쇠 팬과 모닥불 화덕,,❌수동확인
물가의 푸른 잠자리,,❌수동확인
물레와 도자기,,❌수동확인
물레와 점토,,❌수동확인
물보라 롤러코스터,,❌수동확인
물뿌리개와 모종삽,,❌수동확인
바구니에 담은 가을,,❌수동확인
바다 위의 회오리 용오름,,❌수동확인
바다를 보는 석상,,❌수동확인
바람 뒤의 거미줄,,❌수동확인
바람을 타는 범선,완성분,일치
밤하늘을 가로지르는 은하수,,❌수동확인
밤하늘을 수놓는 초록 오로라,,❌수동확인
벌통과 꿀단지,,❌수동확인
범퍼카 타는 아이들,,❌수동확인
베틀과 북,,❌수동확인
벽돌집과 지붕,,❌수동확인
별을 보는 망원경,,❌수동확인
보온병과 스테인리스 컵,,❌수동확인
붉은 사막의 행성 화성,,❌수동확인
빛을 보내는 등대,완성분,일치
빨랫줄과 집게,,❌수동확인
사막의 거대한 모래폭풍,,❌수동확인
사막의 혼천의,,❌수동확인
삼각 캠핑 텐트와 의자,,❌수동확인
새벽 안개 낀 시골길,,❌수동확인
새장 문이 열린 날,,❌수동확인
서재 정리대와 고서,,❌수동확인
석고상과 조각주걱,,❌수동확인
손도끼와 장작더미,,❌수동확인
솔방울이 여는 씨앗집,,❌수동확인
숲길에 자욱한 아침 안개,,❌수동확인
숲길을 걷는 여우,,❌수동확인
숲속의 도토리,,❌수동확인
스쿨버스와 정지판,,❌수동확인
스테인드글라스 조각,,❌수동확인
시공간을 왜곡하는 블랙홀,,❌수동확인
아치창문 서재,,❌수동확인
아픈 사람과 휴식,,❌수동확인
알람시계와 걱정,,❌수동확인
