파일,그림 내용,판정,갈 곳,사유
ch10_05,우산·빗방울·물웅덩이,합격,챕터10,비 그림 그대로 씀
ch10_07,참나무잎·솔방울,불합격,-,#FFFFFF 인쇄됨
ch10_08,분홍 튤립,합격,챕터2,날씨 아님·식물
ch10_09,접부채,합격,챕터10,더위·바람 (손·연필 보임)
ch10_11,연과 얼레,합격,챕터10,바람 그림
ch10_12,수탉 풍향계,조건부,챕터10,W·E·S 글자 있음
ch10_13,고드름,합격,챕터10,겨울 날씨
ch10_14,햇빛가리개 모자,합격,챕터10,여름 햇볕
ch11_04,나무다리·시냇물·박새·유리병,합격,챕터2,우주 아님·자연
ch11_05,피아노·첼로·메트로놈,합격,챕터9,악기 3종 한 화면 (워터마크 희미)
ch11_08,시계탑·해시계·화단,합격,챕터11,시간 재기
ch11_09,모닥불·장작더미,불합격,-,#FFFFFF 크게 인쇄됨 (장면은 아까움·재제작 권장)
ch11_12,여행가방·호텔벨·열쇠,조건부,챕터5,배경이 회색이라 톤 다름
ch11_13,구급상자·체온계·붕대,합격,챕터7,건강
ch13_01,압력계 기계·석탄통,합격,챕터5,공장
ch13_02,아이 둘·빈 액자,불합격,-,채색 미완성
ch13_03,박물관 항아리·안내판,불합격,-,안내판 글씨·정사각 비율
ch13_04,군용 헬멧·군화·수통·쌍안경,중복,-,8-11 군용 장비와 겹침
ch13_05,뇌·척추·무릎뼈,합격,챕터7,몸 (7-13과 짝)
ch13_06,골프 깃대·공·우승컵,중복,-,8-12 골프 그린과 겹침
ch13_07,박물관 항아리(빈 액자),불합격,-,ch13_03과 중복·글씨
ch2_16,호랑나비,합격,챕터2,깨끗함
ch2_21,유리그릇 속 씨앗,불합격,-,채색 흘러내림
ch2_22,둥지와 새알 넷,합격,챕터2,2-05와 짝
ch4_11,목판화 판목·롤러,합격,챕터6,만들고 고치기
ch4_12,베틀과 북,합격,챕터6,만들고 고치기
ch4_13,핀셋과 다이아몬드,조건부,챕터6,Veo 워터마크·손 큼
ch4_19,스테이플러,불합격,-,한글 글자 인쇄·채색 어긋남
ch4_20,연필깎이,불합격,-,채색 선 밖으로 벗어남
ch4_23,알 수 없음(스탬프?),불합격,-,형태 불명
ch4_Cloud,구름이 고래가 되는 장면,합격,챕터12,상상 장면·귀함
ch7_12,공책과 만년필,불합격,-,REGENTER 글자 인쇄
ch8_05,텐트와 접이의자,합격,챕터8,깨끗함
ch8_06,황동 등불과 나뭇가지,합격,챕터12,밤 (손 보임)
ch8_07,등산화와 지팡이,합격,챕터8,깨끗함
ch8_08,카누와 노,합격,챕터8,아주 깨끗함
ch8_09,쌍안경과 깃털,합격,챕터8,새 관찰
ch8_12,나침반과 등고선 지도,조건부,챕터8,나침반 눈금 N·W·N·W 오류
ch8_13,통나무 대피소·풍향계,불합격,-,채색 거의 없음·미완성
ch8_15,성·왕관·깃발,불합격,-,채색 선 밖·깃발 이상
